,date,product,unit,value,decimals,consumer price index,value_norm
85,1995-11-01,"Coffee, instant, 200 grams",Dollars,6.62,2,88.0,0.07522727272727273
86,1995-11-01,Tea (72 bags),Dollars,2.68,2,88.0,0.030454545454545456
87,1995-11-01,"Cooking or salad oil, 1 litre",Dollars,3.06,2,88.0,0.034772727272727275
88,1995-11-01,"Soup, canned, 284 millilitres",Dollars,0.73,2,88.0,0.008295454545454545
89,1995-11-01,"Baby food, 128 millilitres",Dollars,0.53,2,88.0,0.006022727272727273
90,1995-11-01,"Peanut butter, 500 grams",Dollars,2.62,2,88.0,0.029772727272727274
91,1995-11-01,Paper towels (2 rolls),Dollars,1.58,2,88.0,0.017954545454545456
92,1995-11-01,Facial tissue (200 tissues),Dollars,1.49,2,88.0,0.016931818181818183
93,1995-11-01,Bathroom tissue (4 rolls),Dollars,1.97,2,88.0,0.022386363636363635
94,1995-11-01,"Shampoo, 300 millilitres",Dollars,2.99,2,88.0,0.03397727272727273
95,1995-11-01,"Deodorant, 60 grams",Dollars,2.77,2,88.0,0.03147727272727273
96,1995-11-01,"Toothpaste, 100 millilitres",Dollars,1.32,2,88.0,0.015000000000000001
97,1995-11-01,Cigarettes (200),Dollars,31.17,2,88.0,0.3542045454545455
98,1995-12-01,"Round steak, 1 kilogram",Dollars,9.88,2,87.8,0.11252847380410023
99,1995-12-01,"Sirloin steak, 1 kilogram",Dollars,11.1,2,87.8,0.1264236902050114
100,1995-12-01,"Prime rib roast, 1 kilogram",Dollars,11.71,2,87.8,0.133371298405467
101,1995-12-01,"Blade roast, 1 kilogram",Dollars,6.94,2,87.8,0.07904328018223235
102,1995-12-01,"Stewing beef, 1 kilogram",Dollars,7.19,2,87.8,0.08189066059225514
103,1995-12-01,"Ground beef, 1 kilogram",Dollars,3.77,2,87.8,0.04293849658314351
104,1995-12-01,"Pork chops, 1 kilogram",Dollars,8.73,2,87.8,0.09943052391799545
105,1995-12-01,"Chicken, 1 kilogram",Dollars,3.75,2,87.8,0.042710706150341685
106,1995-12-01,"Bacon, 500 grams",Dollars,2.97,2,87.8,0.03382687927107062
107,1995-12-01,"Wieners, 450 grams",Dollars,2.5,2,87.8,0.02847380410022779
108,1995-12-01,"Canned salmon, 213 grams",Dollars,3.66,2,87.8,0.04168564920273349
109,1995-12-01,"Butter, 454 grams",Dollars,2.87,2,87.8,0.032687927107061504
110,1995-12-01,"Processed cheese slices, 250 grams",Dollars,2.59,2,87.8,0.02949886104783599
111,1995-12-01,"Evaporated milk, 385 millilitres",Dollars,1.03,2,87.8,0.01173120728929385
112,1995-12-01,"Eggs, 1 dozen",Dollars,1.63,2,87.8,0.01856492027334852
113,1995-12-01,"Bread, 675 grams",Dollars,1.3,2,87.8,0.014806378132118452
114,1995-12-01,"Soda crackers, 450 grams",Dollars,2.06,2,87.8,0.0234624145785877
115,1995-12-01,"Macaroni, 500 grams",Dollars,0.99,2,87.8,0.011275626423690205
116,1995-12-01,"Flour, 2.5 kilograms",Dollars,3.35,2,87.8,0.03815489749430524
117,1995-12-01,"Corn flakes, 675 grams",Dollars,3.11,2,87.8,0.03542141230068337
118,1995-12-01,"Apples, 1 kilogram",Dollars,2.12,2,87.8,0.02414578587699317
119,1995-12-01,"Bananas, 1 kilogram",Dollars,1.17,2,87.8,0.013325740318906605
120,1995-12-01,"Oranges, 1 kilogram",Dollars,1.69,2,87.8,0.019248291571753985
121,1995-12-01,"Apple juice, 1.36 litres",Dollars,1.7,2,87.8,0.0193621867881549
122,1995-12-01,"Orange juice, 1 litre",Dollars,1.67,2,87.8,0.019020501138952164
123,1995-12-01,"Carrots, 1 kilogram",Dollars,1.04,2,87.8,0.011845102505694762
124,1995-12-01,"Mushrooms, 1 kilogram",Dollars,5.75,2,87.8,0.06548974943052392
125,1995-12-01,"Onions, 1 kilogram",Dollars,0.92,2,87.8,0.010478359908883827
126,1995-12-01,"Potatoes, 4.54 kilograms",Dollars,2.59,2,87.8,0.02949886104783599
127,1995-12-01,"French fried potatoes, frozen, 1 kilogram",Dollars,1.7,2,87.8,0.0193621867881549
128,1995-12-01,"Baked beans, canned, 398 millilitres",Dollars,0.82,2,87.8,0.009339407744874715
129,1995-12-01,"Tomatoes, canned, 796 millilitres",Dollars,1.24,2,87.8,0.014123006833712985
130,1995-12-01,"Tomato juice, 1.36 litres",Dollars,1.41,2,87.8,0.016059225512528474
131,1995-12-01,"Ketchup, 1 litre",Dollars,2.29,2,87.8,0.02608200455580866
132,1995-12-01,"Sugar, white, 2 kilograms",Dollars,1.99,2,87.8,0.022665148063781324
133,1995-12-01,"Coffee, roasted, 300 grams",Dollars,3.78,2,87.8,0.04305239179954442
134,1995-12-01,"Coffee, instant, 200 grams",Dollars,6.61,2,87.8,0.07528473804100229
135,1995-12-01,Tea (72 bags),Dollars,2.67,2,87.8,0.03041002277904328
136,1995-12-01,"Cooking or salad oil, 1 litre",Dollars,3.12,2,87.8,0.03553530751708429
137,1995-12-01,"Soup, canned, 284 millilitres",Dollars,0.75,2,87.8,0.008542141230068337
138,1995-12-01,"Baby food, 128 millilitres",Dollars,0.53,2,87.8,0.006036446469248292
139,1995-12-01,"Peanut butter, 500 grams",Dollars,2.62,2,87.8,0.029840546697038728
140,1995-12-01,Paper towels (2 rolls),Dollars,1.63,2,87.8,0.01856492027334852
141,1995-12-01,Facial tissue (200 tissues),Dollars,1.49,2,87.8,0.016970387243735764
142,1995-12-01,Bathroom tissue (4 rolls),Dollars,1.99,2,87.8,0.022665148063781324
143,1995-12-01,"Shampoo, 300 millilitres",Dollars,2.95,2,87.8,0.033599088838268794
144,1995-12-01,"Deodorant, 60 grams",Dollars,2.82,2,87.8,0.03211845102505695
145,1995-12-01,"Toothpaste, 100 millilitres",Dollars,1.33,2,87.8,0.015148063781321186
146,1995-12-01,Cigarettes (200),Dollars,31.18,2,87.8,0.355125284738041
147,1996-01-01,"Round steak, 1 kilogram",Dollars,9.63,2,88.0,0.10943181818181819
148,1996-01-01,"Sirloin steak, 1 kilogram",Dollars,11.09,2,88.0,0.12602272727272726
149,1996-01-01,"Prime rib roast, 1 kilogram",Dollars,11.92,2,88.0,0.13545454545454547
150,1996-01-01,"Blade roast, 1 kilogram",Dollars,6.67,2,88.0,0.07579545454545454
151,1996-01-01,"Stewing beef, 1 kilogram",Dollars,6.76,2,88.0,0.07681818181818181
152,1996-01-01,"Ground beef, 1 kilogram",Dollars,3.74,2,88.0,0.0425
153,1996-01-01,"Pork chops, 1 kilogram",Dollars,8.95,2,88.0,0.10170454545454545
154,1996-01-01,"Chicken, 1 kilogram",Dollars,3.83,2,88.0,0.043522727272727275
155,1996-01-01,"Bacon, 500 grams",Dollars,3.02,2,88.0,0.03431818181818182
156,1996-01-01,"Wieners, 450 grams",Dollars,2.55,2,88.0,0.028977272727272727
157,1996-01-01,"Canned salmon, 213 grams",Dollars,3.72,2,88.0,0.042272727272727274
158,1996-01-01,"Butter, 454 grams",Dollars,2.87,2,88.0,0.032613636363636365
159,1996-01-01,"Processed cheese slices, 250 grams",Dollars,2.59,2,88.0,0.02943181818181818
160,1996-01-01,"Evaporated milk, 385 millilitres",Dollars,1.03,2,88.0,0.011704545454545455
161,1996-01-01,"Eggs, 1 dozen",Dollars,1.63,2,88.0,0.01852272727272727
162,1996-01-01,"Bread, 675 grams",Dollars,1.29,2,88.0,0.01465909090909091
163,1996-01-01,"Soda crackers, 450 grams",Dollars,1.93,2,88.0,0.02193181818181818
164,1996-01-01,"Macaroni, 500 grams",Dollars,0.98,2,88.0,0.011136363636363637
165,1996-01-01,"Flour, 2.5 kilograms",Dollars,3.4,2,88.0,0.038636363636363635
166,1996-01-01,"Corn flakes, 675 grams",Dollars,3.05,2,88.0,0.03465909090909091
167,1996-01-01,"Apples, 1 kilogram",Dollars,2.19,2,88.0,0.024886363636363637
168,1996-01-01,"Bananas, 1 kilogram",Dollars,1.19,2,88.0,0.013522727272727271
169,1996-01-01,"Oranges, 1 kilogram",Dollars,1.5,2,88.0,0.017045454545454544
170,1996-01-01,"Apple juice, 1.36 litres",Dollars,1.7,2,88.0,0.019318181818181818
171,1996-01-01,"Orange juice, 1 litre",Dollars,1.69,2,88.0,0.019204545454545453
172,1996-01-01,"Carrots, 1 kilogram",Dollars,1.07,2,88.0,0.01215909090909091
173,1996-01-01,"Mushrooms, 1 kilogram",Dollars,5.7,2,88.0,0.06477272727272727
174,1996-01-01,"Onions, 1 kilogram",Dollars,0.9,2,88.0,0.010227272727272727
175,1996-01-01,"Potatoes, 4.54 kilograms",Dollars,2.58,2,88.0,0.02931818181818182
176,1996-01-01,"French fried potatoes, frozen, 1 kilogram",Dollars,1.69,2,88.0,0.019204545454545453
177,1996-01-01,"Baked beans, canned, 398 millilitres",Dollars,0.8,2,88.0,0.009090909090909092
178,1996-01-01,"Tomatoes, canned, 796 millilitres",Dollars,1.23,2,88.0,0.013977272727272727
179,1996-01-01,"Tomato juice, 1.36 litres",Dollars,1.43,2,88.0,0.01625
180,1996-01-01,"Ketchup, 1 litre",Dollars,2.29,2,88.0,0.026022727272727274
181,1996-01-01,"Sugar, white, 2 kilograms",Dollars,2.0,2,88.0,0.022727272727272728
182,1996-01-01,"Coffee, roasted, 300 grams",Dollars,3.8,2,88.0,0.04318181818181818
183,1996-01-01,"Coffee, instant, 200 grams",Dollars,6.52,2,88.0,0.07409090909090908
184,1996-01-01,Tea (72 bags),Dollars,2.7,2,88.0,0.030681818181818185
185,1996-01-01,"Cooking or salad oil, 1 litre",Dollars,3.11,2,88.0,0.03534090909090909
186,1996-01-01,"Soup, canned, 284 millilitres",Dollars,0.74,2,88.0,0.00840909090909091
187,1996-01-01,"Baby food, 128 millilitres",Dollars,0.52,2,88.0,0.005909090909090909
188,1996-01-01,"Peanut butter, 500 grams",Dollars,2.61,2,88.0,0.02965909090909091
189,1996-01-01,Paper towels (2 rolls),Dollars,1.66,2,88.0,0.018863636363636364
190,1996-01-01,Facial tissue (200 tissues),Dollars,1.51,2,88.0,0.01715909090909091
191,1996-01-01,Bathroom tissue (4 rolls),Dollars,1.99,2,88.0,0.022613636363636364
192,1996-01-01,"Shampoo, 300 millilitres",Dollars,2.92,2,88.0,0.03318181818181818
193,1996-01-01,"Deodorant, 60 grams",Dollars,2.74,2,88.0,0.03113636363636364
194,1996-01-01,"Toothpaste, 100 millilitres",Dollars,1.36,2,88.0,0.015454545454545455
195,1996-01-01,Cigarettes (200),Dollars,31.19,2,88.0,0.3544318181818182
196,1996-02-01,"Round steak, 1 kilogram",Dollars,9.96,2,88.1,0.11305334846765042
197,1996-02-01,"Sirloin steak, 1 kilogram",Dollars,11.36,2,88.1,0.12894438138479
198,1996-02-01,"Prime rib roast, 1 kilogram",Dollars,11.31,2,88.1,0.12837684449489217
199,1996-02-01,"Blade roast, 1 kilogram",Dollars,6.64,2,88.1,0.0753688989784336
200,1996-02-01,"Stewing beef, 1 kilogram",Dollars,6.76,2,88.1,0.07673098751418843
201,1996-02-01,"Ground beef, 1 kilogram",Dollars,3.75,2,88.1,0.04256526674233826
202,1996-02-01,"Pork chops, 1 kilogram",Dollars,9.03,2,88.1,0.1024971623155505
203,1996-02-01,"Chicken, 1 kilogram",Dollars,3.81,2,88.1,0.043246311010215664
204,1996-02-01,"Bacon, 500 grams",Dollars,3.07,2,88.1,0.034846765039727584
205,1996-02-01,"Wieners, 450 grams",Dollars,2.51,2,88.1,0.028490351872871737
206,1996-02-01,"Canned salmon, 213 grams",Dollars,3.67,2,88.1,0.041657207718501704
207,1996-02-01,"Butter, 454 grams",Dollars,2.86,2,88.1,0.03246311010215664
208,1996-02-01,"Processed cheese slices, 250 grams",Dollars,2.62,2,88.1,0.029738933030646994
209,1996-02-01,"Evaporated milk, 385 millilitres",Dollars,1.03,2,88.1,0.011691259931895574
210,1996-02-01,"Eggs, 1 dozen",Dollars,1.64,2,88.1,0.018615209988649264
211,1996-02-01,"Bread, 675 grams",Dollars,1.31,2,88.1,0.014869466515323497
212,1996-02-01,"Soda crackers, 450 grams",Dollars,2.0,2,88.1,0.022701475595913737
213,1996-02-01,"Macaroni, 500 grams",Dollars,0.98,2,88.1,0.01112372304199773
214,1996-02-01,"Flour, 2.5 kilograms",Dollars,3.44,2,88.1,0.03904653802497163
215,1996-02-01,"Corn flakes, 675 grams",Dollars,3.03,2,88.1,0.03439273552780931
216,1996-02-01,"Apples, 1 kilogram",Dollars,2.26,2,88.1,0.02565266742338252
217,1996-02-01,"Bananas, 1 kilogram",Dollars,1.28,2,88.1,0.014528944381384792
218,1996-02-01,"Oranges, 1 kilogram",Dollars,1.57,2,88.1,0.017820658342792284
219,1996-02-01,"Apple juice, 1.36 litres",Dollars,1.72,2,88.1,0.019523269012485814
220,1996-02-01,"Orange juice, 1 litre",Dollars,1.69,2,88.1,0.019182746878547107
221,1996-02-01,"Carrots, 1 kilogram",Dollars,1.09,2,88.1,0.012372304199772987
222,1996-02-01,"Mushrooms, 1 kilogram",Dollars,5.74,2,88.1,0.06515323496027242
223,1996-02-01,"Onions, 1 kilogram",Dollars,0.94,2,88.1,0.010669693530079455
224,1996-02-01,"Potatoes, 4.54 kilograms",Dollars,2.53,2,88.1,0.028717366628830874
225,1996-02-01,"French fried potatoes, frozen, 1 kilogram",Dollars,1.69,2,88.1,0.019182746878547107
226,1996-02-01,"Baked beans, canned, 398 millilitres",Dollars,0.8,2,88.1,0.009080590238365495
227,1996-02-01,"Tomatoes, canned, 796 millilitres",Dollars,1.22,2,88.1,0.013847900113507379
228,1996-02-01,"Tomato juice, 1.36 litres",Dollars,1.46,2,88.1,0.016572077185017027
229,1996-02-01,"Ketchup, 1 litre",Dollars,2.31,2,88.1,0.026220204313280364
230,1996-02-01,"Sugar, white, 2 kilograms",Dollars,2.0,2,88.1,0.022701475595913737
231,1996-02-01,"Coffee, roasted, 300 grams",Dollars,3.64,2,88.1,0.041316685584563
232,1996-02-01,"Coffee, instant, 200 grams",Dollars,6.52,2,88.1,0.07400681044267877
233,1996-02-01,Tea (72 bags),Dollars,2.71,2,88.1,0.03076049943246311
234,1996-02-01,"Cooking or salad oil, 1 litre",Dollars,3.11,2,88.1,0.03530079455164586
235,1996-02-01,"Soup, canned, 284 millilitres",Dollars,0.73,2,88.1,0.008286038592508514
236,1996-02-01,"Baby food, 128 millilitres",Dollars,0.53,2,88.1,0.00601589103291714
237,1996-02-01,"Peanut butter, 500 grams",Dollars,2.62,2,88.1,0.029738933030646994
238,1996-02-01,Paper towels (2 rolls),Dollars,1.67,2,88.1,0.018955732122587967
239,1996-02-01,Facial tissue (200 tissues),Dollars,1.5,2,88.1,0.0170261066969353
240,1996-02-01,Bathroom tissue (4 rolls),Dollars,1.99,2,88.1,0.022587968217934167
241,1996-02-01,"Shampoo, 300 millilitres",Dollars,2.99,2,88.1,0.03393870601589104
242,1996-02-01,"Deodorant, 60 grams",Dollars,2.72,2,88.1,0.030874006810442684
243,1996-02-01,"Toothpaste, 100 millilitres",Dollars,1.29,2,88.1,0.01464245175936436
244,1996-02-01,Cigarettes (200),Dollars,31.2,2,88.1,0.35414301929625425
245,1996-03-01,"Round steak, 1 kilogram",Dollars,9.46,2,88.5,0.10689265536723165
246,1996-03-01,"Sirloin steak, 1 kilogram",Dollars,10.95,2,88.5,0.12372881355932203
247,1996-03-01,"Prime rib roast, 1 kilogram",Dollars,11.41,2,88.5,0.1289265536723164
248,1996-03-01,"Blade roast, 1 kilogram",Dollars,6.56,2,88.5,0.07412429378531073
249,1996-03-01,"Stewing beef, 1 kilogram",Dollars,6.84,2,88.5,0.07728813559322034
250,1996-03-01,"Ground beef, 1 kilogram",Dollars,3.73,2,88.5,0.04214689265536723
251,1996-03-01,"Pork chops, 1 kilogram",Dollars,8.93,2,88.5,0.10090395480225989
252,1996-03-01,"Chicken, 1 kilogram",Dollars,3.94,2,88.5,0.04451977401129943
253,1996-03-01,"Bacon, 500 grams",Dollars,3.11,2,88.5,0.035141242937853104
254,1996-03-01,"Wieners, 450 grams",Dollars,2.45,2,88.5,0.027683615819209043
255,1996-03-01,"Canned salmon, 213 grams",Dollars,3.64,2,88.5,0.04112994350282486
256,1996-03-01,"Butter, 454 grams",Dollars,2.88,2,88.5,0.03254237288135593
257,1996-03-01,"Processed cheese slices, 250 grams",Dollars,2.64,2,88.5,0.029830508474576273
258,1996-03-01,"Evaporated milk, 385 millilitres",Dollars,1.03,2,88.5,0.011638418079096045
259,1996-03-01,"Eggs, 1 dozen",Dollars,1.67,2,88.5,0.01887005649717514
260,1996-03-01,"Bread, 675 grams",Dollars,1.31,2,88.5,0.014802259887005651
261,1996-03-01,"Soda crackers, 450 grams",Dollars,2.0,2,88.5,0.022598870056497175
262,1996-03-01,"Macaroni, 500 grams",Dollars,0.99,2,88.5,0.011186440677966102
263,1996-03-01,"Flour, 2.5 kilograms",Dollars,3.44,2,88.5,0.03887005649717514
264,1996-03-01,"Corn flakes, 675 grams",Dollars,2.96,2,88.5,0.03344632768361582
265,1996-03-01,"Apples, 1 kilogram",Dollars,2.28,2,88.5,0.025762711864406776
266,1996-03-01,"Bananas, 1 kilogram",Dollars,1.44,2,88.5,0.016271186440677966
267,1996-03-01,"Oranges, 1 kilogram",Dollars,1.63,2,88.5,0.018418079096045196
268,1996-03-01,"Apple juice, 1.36 litres",Dollars,1.71,2,88.5,0.019322033898305085
269,1996-03-01,"Orange juice, 1 litre",Dollars,1.64,2,88.5,0.018531073446327682
270,1996-03-01,"Carrots, 1 kilogram",Dollars,1.13,2,88.5,0.012768361581920903
271,1996-03-01,"Mushrooms, 1 kilogram",Dollars,5.6,2,88.5,0.06327683615819209
272,1996-03-01,"Onions, 1 kilogram",Dollars,0.9,2,88.5,0.01016949152542373
273,1996-03-01,"Potatoes, 4.54 kilograms",Dollars,2.53,2,88.5,0.028587570621468925
274,1996-03-01,"French fried potatoes, frozen, 1 kilogram",Dollars,1.7,2,88.5,0.019209039548022597
275,1996-03-01,"Baked beans, canned, 398 millilitres",Dollars,0.79,2,88.5,0.008926553672316385
276,1996-03-01,"Tomatoes, canned, 796 millilitres",Dollars,1.2,2,88.5,0.013559322033898305
277,1996-03-01,"Tomato juice, 1.36 litres",Dollars,1.46,2,88.5,0.016497175141242937
278,1996-03-01,"Ketchup, 1 litre",Dollars,2.31,2,88.5,0.02610169491525424
279,1996-03-01,"Sugar, white, 2 kilograms",Dollars,2.03,2,88.5,0.02293785310734463
280,1996-03-01,"Coffee, roasted, 300 grams",Dollars,3.49,2,88.5,0.03943502824858757
281,1996-03-01,"Coffee, instant, 200 grams",Dollars,6.36,2,88.5,0.07186440677966102
282,1996-03-01,Tea (72 bags),Dollars,2.72,2,88.5,0.03073446327683616
283,1996-03-01,"Cooking or salad oil, 1 litre",Dollars,3.11,2,88.5,0.035141242937853104
284,1996-03-01,"Soup, canned, 284 millilitres",Dollars,0.73,2,88.5,0.008248587570621468
285,1996-03-01,"Baby food, 128 millilitres",Dollars,0.52,2,88.5,0.005875706214689266
286,1996-03-01,"Peanut butter, 500 grams",Dollars,2.56,2,88.5,0.028926553672316384
287,1996-03-01,Paper towels (2 rolls),Dollars,1.72,2,88.5,0.01943502824858757
